"ID","year_id","coach_age","coach_level","coach_employer","coach_role","full","new","isHC","job_inx","HC_inx","last_job","tm_abbr","team","league_id","wins","losses","ties","g_playoffs","wins_playoffs","coach_remarks","coach_names","coach_first","coach_last"
"/coaches/AlleDe0.htm",1996,24,"College (FBS)","Texas A&M","Graduate Assistant","College (FBS) - Texas A&M - Graduate Assistant",TRUE,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
"/coaches/AlleDe0.htm",1997,25,"College (FBS)","Texas A&M","Graduate Assistant","College (FBS) - Texas A&M - Graduate Assistant",FALSE,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
"/coaches/AlleDe0.htm",1998,26,"College (FBS)","Texas A&M","Graduate Assistant","College (FBS) - Texas A&M - Graduate Assistant",FALSE,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
"/coaches/AlleDe0.htm",1999,27,"College (FBS)","Texas A&M","Graduate Assistant","College (FBS) - Texas A&M - Graduate Assistant",FALSE,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
"/coaches/AlleDe0.htm",2000,28,"College (FBS)","Tulsa","Secondary","College (FBS) - Tulsa - Secondary",TRUE,0,2,0,"College (FBS) - Graduate Assistant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
"/coaches/AlleDe0.htm",2001,29,"College (FBS)","Tulsa","Secondary","College (FBS) - Tulsa - Secondary",FALSE,0,2,0,"College (FBS) - Graduate Assistant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
"/coaches/AlleDe0.htm",2002,30,"NFL","Atlanta Falcons","Defensive Quality Control","NFL - Atlanta Falcons - Defensive Quality Control",TRUE,0,3,0,"College (FBS) - Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
"/coaches/AlleDe0.htm",2003,31,"NFL","Atlanta Falcons","Defensive Quality Control","NFL - Atlanta Falcons - Defensive Quality Control",FALSE,0,3,0,"College (FBS) - Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
"/coaches/AlleDe0.htm",2004,32,"NFL","Atlanta Falcons","Defensive Assistant","NFL - Atlanta Falcons - Defensive Assistant",TRUE,0,4,0,"NFL - Defensive Quality Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
"/coaches/AlleDe0.htm",2005,33,"NFL","Atlanta Falcons","Defensive Assistant","NFL - Atlanta Falcons - Defensive Assistant",FALSE,0,4,0,"NFL - Defensive Quality Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen,Dennis","2012","2014"
